Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Punta Galeta,exact,L,9.39846,-79.86492,5,41.588640950145724
Inner Lingding Bay,Neemrana,P,27.99193,76.38543,15,55.85000473200284
Mississippi River Delta,exact,L,29.16689,-89.25033,3,44.24623104902707
D'Onofrio,exact,L,40.89482,-73.79319,3,50.381640170570485
Continental Shelf,exact,U,24.0,-97.5,3,55.59746332227909
Kepingtage Formation,Formación,T,18.66667,-70.63333,3,23.25818176813697
Buleji,exact,L,24.85584,66.80618,15,50.22589868013197
Black Sea,exact,L,41.25206,36.96073,23,47.30685989454179
River,exact,L,21.03498,105.8455,9,62.89227914233812
Thyrrhenian Sea,Cea,P,42.46278,-5.01152,3,40.271411284552556
Duerji,exact,T,31.99056,101.1522,9,63.69502728999282
Kattegat,exact,T,63.56262,9.69241,21,11.80753102152541
Pacific Gyre Garbage Patch,Pacific,P,38.482,-90.74152,3,21.11526186631393
Inner Mongolia Plateau,exact,T,41.0,104.0,9,69.55795219971532
Equatorial Guinea,exact,A,1.7,10.5,5,22.238985328911735
SW Türkiye,Sū,P,35.1576,46.9093,15,53.181345764341096
Taghazout Bay,exact,S,30.42775,-9.59811,3,12.36787398849185
Tonlé Sap,exact,H,12.9239,103.91519,9,65.19152458011017
Brantas River,exact,H,-7.46667,111.41667,11,9.906336048888546
Gabonese shelf,Shelf,P,53.75648,-1.81446,3,35.260714204592574
Yushan Lake,Yushan,T,23.47,120.95727,9,46.75337588437114
Blackpool,exact,P,53.81667,-3.05,3,46.03404655070705
Panjim City,Panjim,P,44.00754,81.4247,3,55.08647250676418
Guangxi Province,exact,A,24.0,109.0,9,75.23757710567963
South Africa's,exact,S,-71.66667,-2.85,20,22.240421908201427
Echinadhes Gulf,Gulf Province,A,-7.7246,145.08545,11,52.06974232846808
Switzerland,exact,A,47.00016,8.01427,3,66.58222615723274
Yangtze Delta,exact,T,31.2,120.5,9,33.358477993367664
Greater Melbourne,exact,P,-37.814,144.96332,19,53.689841201120494
Rungkut,exact,A,-7.32,112.79694,11,38.375414369485824
Guadalquivir River Estuary,Guadalquivir,P,-17.02279,-63.94257,7,70.88186556788526
Durres,exact,P,41.32355,19.45469,22,19.98087537247138
Cantabrian Sea,exact,H,44.95119,-4.40826,3,50.69083281393014
Anchar lake,exact,H,34.14694,74.78933,15,47.40441209052489
Seribu Islands,exact,T,-5.6,106.55,11,12.420336517779623
San Manuel,exact,P,32.59979,-110.63093,9,16.544607378754673
Shanxi Province,exact,A,37.66667,112.25,9,28.78833065529147
Big Island,exact,L,41.96944,-115.39722,9,52.89144085644503
artic,exact,P,46.88899,-123.71461,9,46.24696264496963
French Riviera,exact,L,43.2332,6.5918,22,30.58081759242702
Moroccan Atlantic,Atlantic,P,41.50478,-80.33895,3,13.422287215632288
Mkomani,exact,L,-3.7437,39.79509,17,42.50500386664561
Pantai Bahagia Village,Pantai,A,5.64084,102.73417,11,30.27990827102369
